CaneID,30-Oct,1-Nov,5-Nov,7-Nov,11-Nov,14-Nov,,18-Nov,,21-Nov,,25-Nov,,28-Nov,,2-Dec,,,,,,
1399,,,,,5,9,,29,,30,,33,x,,,,,,,,,
1400,,,,,4,4,,7,,10,,29,x,,,,,,,,,
1401,,,,,,0,,16,,33,,55,x,,,,,,,,,
1402,,,,,,3,,8,,24,,46,4,52,x,,,,,,,
1403,,,,,,2,,10,,22,,27,2,28,x,,,,,,,
1404,,,,,26,34,,36,x,,,,,,,,,,,,,
1405,,,,,,0,,18,,31,,42,x,,,,,,,,,
1406,,,,,1,3,,4,,8,,8,x,,,,,,,,,
1407,,,,,2,3,,3,,8,,26,x,,,,,,,,,
1408,,,,,,0,,3,,4,,10,x,,,,,,,,,
1433,,,,,,1,,15,,19,,21,,21,x,,,,,,,
1434,,,,,,10,,26,,28,x,,,,,,,,,,,
1435,,,,,8,21,,29,,29,x,,,,,,,,,,,
1436,,,,,,12,,18,,21,x,,,,,,,,,,,
1437,,,,,4,18,,28,,29,x,,,,,,,,,,,
1438,,,,,,0,,11,,26,,33,,32,x,,,,,,,
1439,,,,,,0,,12,,15,,15,x,,,,,,,,,
1440,,,,,1,3,,8,,16,,21,x,,,,,,,,,
1441,,,,,1,5,,6,,6,x,,,,,,,,,,,
1442,,,,,,1,,19,,27,,28,x,,,,,,,,,
1443,,,,,,2,,12,,12,,14,1,13,x,,,,,,,
1444,,,,,,2,,12,,14,,14,x,,,,,,,,,
1445,,,,,,1,,12,,17,,18,x,,,,,,,,,
1446,,,,,2,12,,22,,25,,30,x,,,,,,,,,
1447,,,,,,5,,6,,12,,12,x,,,,,,,,,
1448,,,,,,7,,18,,21,,22,x,,,,,,,,,
1449,,,,,10,25,,28,,30,,30,x,,,,,,,,,
1450,,,,,,3,,3,,5,,9,,10,x,,,,,,,
1451,,,,,,1,,19,,24,,24,x,,,,,,,,,
1452,,,,,,2,,11,,24,,27,x,,,,,,,,,
1453,,,,,,1,,6,,14,,23,,29,x,,,,,,,
1454,,,,,1,6,,20,,28,,39,2,40,x,,,,,,,
1455,,,,,,4,,27,,32,,36,x,,,,,,,,,
1456,,,,,6,16,,19,,20,x,,,,,,,,,,,
